2NE1	Q171885
Marissa Mayer	Q14086
Curtis Mayfield	Q310170
Mayhem (band)	Q485116
Henry Mayhew	Q1227273
Michel Mayor	Q123975
Ernst Mayr	Q5354
Billy Mays	Q58889
Willie Mays	Q561852
Floyd Mayweather Jr.	Q318204
Tadeusz Mazowiecki	Q55922
Giuseppe Mazzini	Q187336
Léon M'ba	Q299629
Kylian Mbappé	Q21621995
Thabo Mbeki	Q101547
Achille Mbembe	Q340234
MC Lyte	Q455292
Rachel McAdams	Q190386
John McAfee	Q45864
Mary McAleese	Q174662
Christa McAuliffe	Q229674
Anne McCaffrey	Q233046
John McCain	Q10390
Mercedes McCambridge	Q140017
Leo McCarey	Q332530
Cormac McCarthy	Q272610
Jenny McCarthy	Q230993
John McCarthy (computer scientist)	Q92739
Joseph McCarthy	Q189197
Mary McCarthy (author)	Q268147
Paul McCartney	Q2599
Richie McCaw	Q726148
George B. McClellan	Q310192
David McClelland	Q28876
Scott McCloud	Q454833
Nellie McClung	Q460191
Elmer McCollum	Q52354
Matthew McConaughey	Q188955
John McCrae	Q470812
Walter McCrone	Q345775
Carson McCullers	Q230591
Colleen McCullough	Q228801
David McCullough	Q374610
George M. McCune	Q1075383
Hattie McDaniel	Q228904
Martin McDonagh	Q372394
Audra McDonald	Q267676
Richard and Maurice McDonald	Q1029178
Frances McDormand	Q204299
Roddy McDowall	Q283988
Ephraim McDowell	Q978991
John McDowell	Q1252398
Malcolm McDowell	Q117392
John McEnroe	Q16474
Ian McEwan	Q190379
Daniel McFadden	Q312560
Rose McGowan	Q211040
Glenn McGrath	Q1392178
Jeremy McGrath	Q2696702
Conor McGregor	Q5162259
Ewan McGregor	Q165518
Martin McGuinness	Q57689
Mark McGwire	Q462481
Rory McIlroy	Q380613
Gavin McInnes	Q5528217
Thongchai McIntyre	Q1365889
Claude McKay	Q1096967
Heather McKay	Q538855
Ian McKellen	Q170510
William McKinley	Q35041
Gary McKinnon	Q380929
Victor A. McKusick	Q926001
Victor McLaglen	Q329577
Bruce McLaren	Q173081
Malcolm McLaren	Q325377
Norman McLaren	Q716552
Vince McMahon	Q44430
Edwin McMillan	Q19009
Terrence McNally	Q1566335
Michelle McNamara	Q23924683
Robert McNamara	Q191999
Legs McNeil	Q3099614
J. R. McNeill	Q2018092
William H. McNeill	Q1765863
Clyde McPhatter	Q1103721
Aimee Semple McPherson	Q2563141
Alexander McQueen	Q207939
Steve McQueen	Q159347
Colin McRae	Q201291
John McTiernan	Q270639
Timothy McVeigh	Q220850
George Herbert Mead	Q295978
James Meade	Q235843
Colin Meads	Q642380
Ray Meagher	Q2095407
Marijane Meaker	Q3122920
Russell Means	Q319799
George Meany	Q141704
Giuseppe Meazza	Q192131
Joe Medicine Crow	Q1707608
Lina Medina	Q202307
Aleksandr Medved	Q435761
Dmitry Medvedev	Q23530
Han van Meegeren	Q436161
Ezra Meeker	Q5423387
Megadeth	Q83431
Megasthenes	Q312548
Meher Baba	Q312701
Daler Mehndi	Q464185
Karan Mehra	Q6368391
Tyeb Mehta	Q3111894
Mei Lanfang	Q526989
Richard Meier	Q159612
Sid Meier	Q92616
Arthur Meighen	Q128645
Henri Meilhac	Q723648
Ulrike Meinhof	Q76543
Golda Meir	Q42992
Cecília Meireles	Q2607615
Jonas Mekas	Q699702
Nellie Melba	Q237607
William Lamb, 2nd Viscount Melbourne	Q312567
Lauritz Melchior	Q542823
Meles Zenawi	Q161184
Mariano Melgarejo	Q734622
Monte Melkonian	Q545875
Fernando Collor de Mello	Q236503
Giorgia Meloni	Q451791
Jean-Pierre Melville	Q168693
Hans Memling	Q106851
Menaechmus	Q451566
Menander	Q118992
Guido Menasci	Q1608603
Rigoberta Menchú	Q188620
H. L. Mencken	Q439204
Álvaro de Mendaña de Neira	Q313273
Mendele Mocher Sforim	Q359694
Erich Mendelsohn	Q76730
Adnan Menderes	Q238745
Chico Mendes	Q550176
Sam Mendes	Q223233
Ana Mendieta	Q463639
Daniel Mendoza	Q1161746
Carlos Menem	Q185107
Menes	Q189574
Josef Mengele	Q57109
Carl Menger	Q84177
Anton Raphael Mengs	Q76718
Adah Isaacs Menken	Q2061698
Alan Menken	Q317272
Anjolie Ela Menon	Q4765850
Gian Carlo Menotti	Q270662
Maud Menten	Q7515
Mentewab	Q2920073
Mentuhotep II	Q296439
Menudo (group)	Q2555767
Yehudi Menuhin	Q156814
Adolph Menzel	Q164961
Idina Menzel	Q157400
Robert Menzies	Q214438
Ramón Mercader	Q298380
Gerardus Mercator	Q6353
Johnny Mercer	Q363698
Daniela Mercury	Q465927
Freddie Mercury	Q15869
George Meredith	Q90238
Dmitry Merezhkovsky	Q326459
Maria Sibylla Merian	Q62530
Prosper Mérimée	Q160333
Maurice Merleau-Ponty	Q212639
Ethel Merman	Q129087
Merneith	Q230548
Fatema Mernissi	Q242376
Cléo de Mérode	Q242001
Joseph Merrick	Q215762
Winifred Edgerton Merrill	Q8025385
Robert C. Merton	Q287542
Robert K. Merton	Q312843
Thomas Merton	Q335011
Merzbow	Q452011
Jacques Mesrine	Q520852
Mesrop Mashtots	Q104804
Johannes Messenius	Q1351994
Willy Messerschmitt	Q77096
Ronaldo (Brazilian footballer)	Q529207
Olivier Messiaen	Q151593
Don Messick	Q645399
Charles Messier	Q14524
Mark Messier	Q319247
Matteo Messina Denaro	Q736402
Reinhold Messner	Q189307
Ivan Meštrović	Q313828
Sombat Metanee	Q4291624
Pietro Metastasio	Q29473
Laurie Metcalf	Q236711
Élie Metchnikoff	Q172254
Pat Metheny	Q213887
Raoni Metuktire	Q1797414
Jean de Meun	Q544925
Russ Meyer	Q315325
Stephenie Meyer	Q160219
Giacomo Meyerbeer	Q105237
Vsevolod Meyerhold	Q165721
Giuseppe Gasparo Mezzofanti	Q117763
M.I.A. (rapper)	Q204019
Léonora Miano	Q465373
Michael I Cerularius	Q68482
Michael VIII Palaiologos	Q200033
Michael of Russia	Q181915
George Michael	Q130311
Lorne Michaels	Q521221
Shawn Michaels	Q31317
Henri Michaux	Q160780
Louise Michel	Q216092
Majid Michel	Q6737845
Jules Michelet	Q310791
Édouard Michelin (industrialist)	Q274389
Michelozzo	Q309736
Rinus Michels	Q2154479
James A. Michener	Q361653
Phil Mickelson	Q325374
Michel Micombero	Q282359
Mary Midgley	Q2898525
Thomas Midgley Jr.	Q324992
Bette Midler	Q190631
Erich Mielke	Q57309
Vic Mignogna	Q843552
Luis Miguel	Q1069140
Michiya Mihashi	Q3236273
Takashi Miike	Q185421
Mikael of Wollo	Q752011
George Mikan	Q314185
Nikita Mikhalkov	Q55207
Sergey Mikhalkov	Q208116
Nicholas Miklouho-Maclay	Q312499
Anastas Mikoyan	Q152738
Rentarō Mikuni	Q1321767
Milutin Milanković	Q89054
Milarepa	Q58431
Ivan Milat	Q723700
Javier Milei	Q52395487
Nelson A. Miles	Q549005
Lewis Milestone	Q285928
Stanley Milgram	Q208236
Darius Milhaud	Q186264
Michael Milken	Q918376
James Mill	Q271666
Roger Milla	Q168540
John Everett Millais	Q159606
Ray Milland	Q181774
Mark Millar	Q2543
Edna St. Vincent Millay	Q62134
Benjamin Millepied	Q583186
Abby Lee Miller	Q20202530
Frank Miller	Q207676
George Miller (filmmaker)	Q446960
Glenn Miller	Q103651
Henry Miller	Q187765
Keith Miller	Q2735268
Lee Miller	Q265131
Max Miller (comedian)	Q513768
Merton Miller	Q157255
Neal E. Miller	Q573726
Shannon Miller	Q257672
Wentworth Miller	Q484662
William Miller (preacher)	Q353723
Jean-François Millet	Q148458
Kate Millett	Q292268
Alice Milliat	Q2836621
Spike Milligan	Q561401
Mary Millington	Q4349341
C. Wright Mills	Q312837
John Mills	Q315728
A. A. Milne	Q207036
Milo of Croton	Q338948
Czesław Miłosz	Q45970
Nathan Milstein	Q434055
Miltiades	Q210350
Min Aung Hlaing	Q3462649
Mina (Italian singer)	Q231156
Nicki Minaj	Q162202
Minamoto no Yoritomo	Q242800
Minamoto no Yoshitsune	Q310445
Tim Minchin	Q23527
Mindaugas	Q242436
Mindon Min	Q574358
Jalal al-Din Mangburni	Q559416
Charles Mingus	Q107432
Hermann Minkowski	Q57246
Liza Minnelli	Q14441
Vincente Minnelli	Q51535
Jon Brower Minnoch	Q438941
Monta Mino	Q1999174
Kylie Minogue	Q11998
Minor Threat	Q81509
Marvin Minsky	Q204815
Sidney Mintz	Q327017
Mir Damad	Q3315763
Honoré Gabriel Riqueti, comte de Mirabeau	Q218747
The Miracles	Q1761222
Carmen Miranda	Q121655
Francisco de Miranda	Q311447
Lin-Manuel Miranda	Q1646482
Octave Mirbeau	Q23441
Mircea the Elder	Q322043
Andrei Mironov (actor)	Q469550
Helen Mirren	Q349391
James Mirrlees	Q176643
D. S. Mirsky	Q354394
Iraj Mirza	Q983413
Maryam Mirzakhani	Q1771279
Shavkat Mirziyoyev	Q57808
Mitsuharu Misawa	Q703827
David Miscavige	Q586084
Walter Mischel	Q215978
Misfits (band)	Q311785
Maṇḍana Miśra	Q3630248
Mikhail Mishustin	Q4298520
Hibari Misora	Q147811
Vāchaspati Misra	Q1292812
Missy Elliott	Q155079
Mistinguett	Q235507
Frédéric Mistral	Q42596
Gabriela Mistral	Q80871
Arthur Mitchell (dancer)	Q3753500
Bill Mitchell (automobile designer)	Q323230
Billy Mitchell	Q863201
David Mitchell (author)	Q40479
Edgar Mitchell	Q295873
Joan Mitchell	Q469934
Margaret Mitchell	Q173540
Maria Mitchell	Q239229
Thomas Mitchell (actor)	Q317026
Wesley Clair Mitchell	Q510417
Naomi Mitchison	Q461571
Robert Mitchum	Q16472
Mitford family	Q2473545
Nancy Mitford	Q260026
Unity Mitford	Q254659
Mithridates I of Parthia	Q312442
Mithridates II of Parthia	Q297763
Marianne Mithun	Q4296902
Kevin Mitnick	Q7449
Mitr Chaibancha	Q4922841
Subrata Mitra	Q724177
Bartolomé Mitre	Q314362
Eilhard Mitscherlich	Q62518
Gösta Mittag-Leffler	Q357154
Lakshmi Mittal	Q191311
Tom Mix	Q345468
Chōjun Miyagi	Q221121
Michio Miyagi	Q1940929
Mamoru Miyano	Q519821
Hidetaka Miyazaki	Q11454590
Kenji Mizoguchi	Q55401
Ichirou Mizuki	Q34580
Nana Mizuki	Q229347
Chief Mkwawa	Q705592
Ratko Mladić	Q93167
Emmerson Mnangagwa	Q510523
Mo Yan	Q8998
August Ferdinand Möbius	Q57335
Moby	Q14045
Mochizuki Chiyome	Q1085443
Jerrie Mock	Q468295
Walter Model	Q70536
Modern Talking	Q27417
Paula Modersohn-Becker	Q234370
Patrick Modiano	Q222944
Amedeo Modigliani	Q120993
Franco Modigliani	Q205850
Tina Modotti	Q466946
Luka Modrić	Q483837
Domenico Modugno	Q201392
Claude Moët	Q5128973
Festus Mogae	Q193238
Semion Mogilevich	Q471862
Mohammed V of Morocco	Q193874
Mohammed VI of Morocco	Q57553
Mohammed al-Shaykh	Q1951892
Mohammed bin Salman	Q6892571
Mohamed bin Zayed Al Nahyan	Q1951896
Khalid Sheikh Mohammed	Q319068
Murtala Muhammed	Q373628
Mohanlal	Q2050534
László Moholy-Nagy	Q160448
Andrija Mohorovičić	Q243445
Friedrich Mohs	Q30572
Daniel arap Moi	Q193492
Scott Moir	Q440940
Henri Moissan	Q102804
Abraham de Moivre	Q200397
Emilio Mola	Q352918
Jacques de Molay	Q208215
Natalia Molchanova	Q59920
Werner Mölders	Q58641
Cathy Garcia-Sampana	Q5053417
Tirso de Molina	Q295598
Bill Mollison	Q554966
Ferenc Molnár	Q296809
Vyacheslav Molotov	Q132899
Helmuth von Moltke the Younger	Q57130
Joseph Saidu Momoh	Q887812
Momoiro Clover Z	Q1070606
John Monash	Q2731333
José María Moncada	Q727208
Robert Mondavi	Q1344336
Eduardo Mondlane	Q443434
Ernesto Teodoro Moneta	Q12086
John Money	Q625794
Chris Moneymaker	Q528737
Möngke Khan	Q7521
Mongkut	Q312849
Agnez Mo	Q1362169
Mario Monicelli	Q53026
Mo'Nique	Q229169
António Egas Moniz	Q273219
Thelonious Monk	Q109612
The Monkees	Q464036
Mark Monmonier	Q1900293
Jean Monnet	Q159700
Bill Monroe	Q170042
James Monroe	Q11815
Monster of Florence	Q1945341
Luc Montagnier	Q103598
Ashley Montagu	Q725974
Lady Mary Wortley Montagu	Q235121
Ricardo Montalbán	Q333595
Eugenio Montale	Q83174
Joe Montana	Q348011
Yves Montand	Q106057
Raimondo Montecuccoli	Q454789
Federico da Montefeltro	Q435501
Monteiro Lobato	Q606389
Madame de Montespan	Q230982
Pierre Monteux	Q434972
Lola Montez	Q161154
Elizabeth Montgomery	Q233843
John Joseph Montgomery	Q3111121
Lucy Maud Montgomery	Q273034
Wes Montgomery	Q298601
Henry de Montherlant	Q379956
Eugenio Monti	Q725577
Sara Montiel	Q268587
James Graham, 1st Marquess of Montrose	Q979180
Manuel Montt	Q1328
Carlos Monzón	Q724670
Paul Moody (inventor)	Q7152573
Robert Moog	Q200883
Bram Moolenaar	Q92885
Moon Jae-in	Q21001
Sun Myung Moon	Q296734
Michael Moorcock	Q316138
Alan Moore	Q205739
Archie Moore	Q470731
Bobby Moore	Q191492
Clement Clarke Moore	Q2978887
Colleen Moore	Q446715
Demi Moore	Q43044
G. E. Moore	Q295386
Gordon Moore	Q243969
Julianne Moore	Q80405
Marianne Moore	Q278495
Mary Tyler Moore	Q41342
Michael Moore	Q174908
Patrick Moore	Q268024
Roger Moore	Q134333
Thomas Moore	Q315346
Agnes Moorehead	Q231221
Alan Moorehead	Q922484
Leontien van Moorsel	Q234158
Juan Mora Fernández	Q888005
Vinicius de Moraes	Q333856
Prudente de Morais	Q310230
Evo Morales	Q42410
Ramón Villeda Morales	Q783111
Bugs Moran	Q979329
Moranbong Band	Q14561874
Gianni Morandi	Q319537
Breaker Morant	Q903766
Massimo Moratti	Q296909
Alberto Moravia	Q161933
Cathleen Synge Morawetz	Q450331
Benny Moré	Q560505
Gustave Moreau	Q203828
Morecambe and Wise	Q2748714
Giuseppe Morello	Q1370325
José María Morelos	Q378420
José Manuel Moreno	Q543951
Lenín Moreno	Q518626
Rita Moreno	Q230151
Alex Morgan	Q233510
Henry Morgan	Q215502
Lewis H. Morgan	Q313458
Michèle Morgan	Q234897
Piers Morgan	Q557758
Robin Morgan	Q450796
Sally Morgan (artist)	Q443424
Thomas Hunt Morgan	Q177681
William G. Morgan	Q313949
Hans Morgenthau	Q77161
Cesare Mori	Q1056917
Mari Mori	Q515651
Mōri Motonari	Q1156545
Mori Ōgai	Q356960
Shigefumi Mori	Q206215
Taikichiro Mori	Q7676027
Higinio Morínigo	Q887269
Samuel Eliot Morison	Q982883
Berthe Morisot	Q105320
Alanis Morissette	Q130742
Akio Morita	Q310845
Ebenezer Cobb Morley	Q2425484
Edward W. Morley	Q320889
Thomas Morley	Q438141
Aldo Moro	Q171834
Sergio Moro	Q19607958
Giorgio Moroder	Q312674
Francesco Morosini	Q34481
Paul Morphy	Q105589
Ennio Morricone	Q23848
Morris (cartoonist)	Q312835
Benny Morris	Q374803
Gouverneur Morris	Q714960
Jan Morris	Q3395844
Old Tom Morris	Q1346909
Robert Morris (financier)	Q464876
Robert Tappan Morris	Q92647
William Morris	Q182589
Young Tom Morris	Q186951
Lloyd Morrisett	Q6662652
Grant Morrison	Q943047
Herbert Morrison (journalist)	Q1231332
Jim Morrison	Q44301
Scott Morrison	Q7436908
Van Morrison	Q272203
Morrissey	Q202246
Mohamed Morsi	Q4631
Dale T. Mortensen	Q109721
Jelly Roll Morton	Q317128
Newton Morton	Q20984526
William T. G. Morton	Q319689
Carl Gustaf Mosander	Q468316
Ignacy Mościcki	Q310594
Mireya Moscoso	Q231946
Annemarie Moser-Pröll	Q9586
May-Britt Moser	Q6796222
Edwin Moses	Q52620
Grandma Moses	Q260683
Moshoeshoe II of Lesotho	Q544951
Oswald Mosley	Q332400
Kate Moss	Q212531
Stirling Moss	Q172728
Rudolf Mössbauer	Q44286
Johann Most	Q213632
Ahlam Mosteghanemi	Q1772341
Zero Mostel	Q191952
Andrew Motion	Q506410
Kgalema Motlanthe	Q152327
Mötley Crüe	Q486688
John Lothrop Motley	Q689281
Motoori Norinaga	Q384647
Motörhead	Q19697
John Mott	Q159726
Lucretia Mott	Q267107
Nevill Mott	Q189485
Ben Roy Mottelson	Q107423
Mia Mottley	Q6827147
Lord Mountbatten	Q157068
José Mourinho	Q79983
Gérard Mourou	Q556543
Mir-Hossein Mousavi	Q217154
Nana Mouskouri	Q154662
Zacarias Moussaoui	Q139204
Bill Moyers	Q605370
Dambisa Moyo, Baroness Moyo	Q466993
Leopold Mozart	Q156280
Mozi	Q272411
Sergei Mozyakin	Q970861
Ivan Mosjoukine	Q1675928
Mr. Children	Q686915
Mr. T	Q295107
Yevgeny Mravinsky	Q320609
MrBeast	Q57618112
Sławomir Mrożek	Q18832
Mswati III	Q57340
Oliver Mtukudzi	Q983221
Duke Mu of Qin	Q1146646
Al-Mu'izz li-Din Allah	Q335443
Al-Mu'tadid	Q284567
Al-Mu'tasim	Q284550
Hosni Mubarak	Q34105
Alphonse Mucha	Q146691
Robert Mueller	Q715156
Muhammad II of Khwarazm	Q520090
Muhammad al-Jawad	Q25088
Mohammad-Baqer Majlesi	Q755939
Mohammed bin Thani	Q3493526
Muhammad bin Tughluq	Q381830
Muhammad ibn Ali al-Sanusi	Q192246
Muhammad ibn Tughj al-Ikhshid	Q963733
Muhammad Shah of Brunei	Q2658398
Elijah Muhammad	Q345182
Anita Mui	Q232621
José Mujica	Q9094
Rani Mukerji	Q485557
Mukesh (singer)	Q2367593
Hrishikesh Mukherjee	Q55408
Pranab Mukherjee	Q57446
Shyama Prasad Mukherjee	Q3344992
Vera Mukhina	Q234601
Denis Mukwege	Q1187542
Alan Mulally	Q348874
Richard Mulcahy	Q560499
Robert Muldoon	Q737739
William Mulholland	Q1347401
Harry Mulisch	Q927
Rodney Mullen	Q313447
Gerd Müller	Q43744
Hermann Joseph Muller	Q83598
Herta Müller	Q38049
K. Alex Müller	Q122298
Max Müller	Q60074
Gerry Mulligan	Q156535
Robert S. Mulliken	Q233355
Kary Mullis	Q157224
Brian Mulroney	Q128563
Multatuli	Q154211
Laura Mulvey	Q440887
Lewis Mumford	Q469888
Mumtaz (Indian actress)	Q3111131
Robert Mundell	Q219721
Anthony Mundine	Q614952
Paul Muni	Q182292
Frankie Muniz	Q310275
Luis Muñoz Marín	Q888180
Anthony Muñoz	Q504859
Alice Munro	Q234819
Audrey Munson	Q152776
Hugo Münsterberg	Q57946
Muqali	Q43276
Muhammad bin Saud Al Muqrin	Q1319659
Murad I	Q96261
Murad III	Q159934
Murad IV	Q174762
Hadji Murad	Q240159
Takashi Murakami	Q352437
Muttiah Muralitharan	Q379709
Joachim Murat	Q151173
Tomiichi Murayama	Q310126
Walter Murch	Q1394956
Roderick Murchison	Q361900
Iris Murdoch	Q217495
Zeki Müren	Q187272
Bartolomé Esteban Murillo	Q192062
F. W. Murnau	Q55412
Audie Murphy	Q337185
Brittany Murphy	Q168847
Eddie Murphy	Q43874
Emily Murphy	Q439355
Ryan Murphy (producer)	Q316844
Andy Murray	Q10125
Bill Murray	Q29250
Charles Murray (political scientist)	Q1065595
Douglas Murray (author)	Q1252408
Gordon Murray	Q173435
Les Murray (poet)	Q259841
Margaret Murray	Q242542
Joaquin Murrieta	Q522843
Mursili I	Q222536
N. R. Narayana Murthy	Q1398708
Musa ibn Nusayr	Q301261
Musa of Parthia	Q467466
Yoweri Museveni	Q57274
Story Musgrave	Q462132
Pervez Musharraf	Q40495
Stan Musial	Q1328142
Robert Musil	Q78487
Anton Mussert	Q537005
Alfred de Musset	Q179680
Mustafa III	Q199484
Kara Mustafa Pasha	Q334140
Aliya Mustafina	Q266738
Morning Musume	Q174291
Ayaz Mutallibov	Q355850
Al-Mutanabbi	Q284542
Abdallah ibn al-Mu'tazz	Q2476971
Mutesa II of Buganda	Q356026
Akira Mutō	Q607868
Jean-Jacques Muyembe-Tamfum	Q32678288
Ali Hassan Mwinyi	Q361581
My Bloody Valentine (band)	Q841042
My Chemical Romance	Q483285
Empress Myeongseong	Q464503
Isabel Briggs Myers	Q3154819
Mike Myers	Q185724
Roger Myerson	Q232949
Gunnar Myrdal	Q152452
Myron	Q192211
Mzilikazi KaMashobane	Q1249008
N.W.A	Q216856
N.R.M.	Q1810421
Na Hyesŏk	Q466477
Na Un'gyu	Q841146
Nabonassar	Q443902
Nabonidus	Q239414
Nabopolassar	Q273514
Jim Nabors	Q963787
Rafael Nadal	Q10132
Nadar	Q40116
Ralph Nader	Q193156
François-Joseph Naderman	Q509793
Aldo Nadi	Q447810
Gnaeus Naevius	Q212667
Go Nagai	Q551359
Thomas Nagel	Q350239
Carl Nägeli	Q123876
Mohamed Naguib	Q104392
Chūichi Nagumo	Q295839
Bronko Nagurski	Q927663
Imre Nagy	Q177917
Nachmanides	Q355455
James Naismith	Q188962
Najib Razak	Q57675
Mohammad Najibullah	Q207728
John Naka	Q3182796
Yuji Naka	Q726119
Tatsuya Nakadai	Q449621
Akina Nakamori	Q1143664
Satoshi Nakamoto	Q13382352
Shuji Nakamura	Q730065
Yasuhiro Nakasone	Q250828
Hidetoshi Nakata	Q128725
Vanessa Nakate	Q83614709
Pavel Nakhimov	Q345365
Albert Namatjira	Q560086
Yoichiro Nambu	Q188120
Namdev	Q2602417
Ricky Nelson	Q303207
Ngawang Namgyal	Q337583
Lewis Namier	Q978376
Hamza Namira	Q1103528
Jean-Luc Nancy	Q503017
Nanny of the Maroons	Q274041
John Napier	Q159592
Narai	Q718197
Naram-Sin of Akkad	Q297506
Narasingha Deva I	Q6965420
R. K. Narayan	Q334252
K. R. Narayanan	Q235454
Paulette Nardal	Q3372640
Nargis	Q159169
Naropa	Q203060
Naruhito	Q217096
Mikio Naruse	Q1371306
Pánfilo de Narváez	Q40524
Nas	Q194220
John Forbes Nash Jr.	Q128736
Ogden Nash	Q719228
Steve Nash	Q192955
Thomas Nashe	Q443042
Gracia Mendes Nasi	Q298184
Ibrahim Nasir	Q558802
Hassan Nasrallah	Q181182
Taslima Nasrin	Q208468
Condé Nast (businessman)	Q2035037
Thomas Nast	Q214957
Nastasen	Q709309
Matrakçı Nasuh	Q4115413
Vann Nath	Q611335
Carrie Nation	Q2583364
Natwarlal	Q6981023
Naushad	Q674337
Ali-Shir Nava'i	Q503340
Alexei Navalny	Q155979
Claude-Louis Navier	Q313512
Navin Ramgoolam	Q57836
O. P. Nayyar	Q1397628
Nizar Nayyouf	Q2221519
Nursultan Nazarbayev	Q57394
Shahram Nazeri	Q1771734
Khwaja Nazimuddin	Q369988
Kazi Nazrul Islam	Q334818
Youssou N'Dour	Q210734
Patricia Neal	Q191027
Antonio de Nebrija	Q380804
Sergei Nechaev	Q430883
Necho II	Q125102
Nectanebo I	Q175775
Nectanebo II	Q313126
Elizabeth Needham	Q4969085
Hal Needham	Q1230959
Anthony Fantano	Q51882459
Herbert Needleman	Q5735148
Louis Néel	Q155781
Liam Neeson	Q58444
Neferhotep I	Q355429
Pepi II Neferkare	Q6198
Negasso Gidada	Q356741
Ahmed Fouad Negm	Q2827555
Antonio Negri	Q310341
Pola Negri	Q230633
Nehru–Gandhi family	Q1441340
Saina Nehwal	Q464311
Silvia Neid	Q289857
A. S. Neill	Q316792
William Neill (poet)	Q8016060
Ulric Neisser	Q62895
Neithhotep	Q255585
Nikolay Nekrasov	Q208003
Plautilla Nelli	Q3906452
Baby Face Nelson	Q63984
Byron Nelson	Q725776
Willie Nelson	Q206112
Stefan Nemanja	Q298612
Božena Němcová	Q157970
Alexei Nemov	Q375537
Boris Nemtsov	Q363846
Nena	Q153996
José Nepomuceno	Q2377999
Julius Nepos	Q103860
Walther Nernst	Q57125
Jan Neruda	Q156321
Nerva	Q1424
Gérard de Nerval	Q191305
E. Nesbit	Q231708
Evelyn Nesbit	Q434304
Eliot Ness	Q358505
Henri Nestlé	Q57290
Nestorius	Q185073
Agostinho Neto	Q181665
Anna Netrebko	Q78516
Balthasar Neumann	Q61349
Otto Neurath	Q78570
Richard Neutra	Q84312
Louise Nevelson	Q7531
Richard Neville, 16th Earl of Warwick	Q437571
Allan Nevins	Q3380712
Sheila Nevins	Q7493119
New Kids on the Block	Q212464
New Order (band)	Q214990
New York Dolls	Q830586
John Newbery	Q266330
Thomas Pelham-Holles, 1st Duke of Newcastle	Q273809
Simon Newcomb	Q164401
John Newcombe	Q312464
Thomas Newcomen	Q193042
Gabe Newell	Q347418
Bob Newhart	Q718078
Ingrid Newkirk	Q262461
John Henry Newman	Q44490
Paul Newman	Q41871
Eunice Newton Foote	Q26763822
Olivia Newton-John	Q185165
Helmut Newton	Q57395
Huey P. Newton	Q360570
John Newton	Q357301
Michel Ney	Q40756
Neymar	Q142794
Nezahualcoyotl (tlatoani)	Q379964
Andrew Ng	Q2846695
Mbongeni Ngema	Q6799750
Ngo Dinh Diem	Q192502
Ngô Bảo Châu	Q216350
Haing S. Ngor	Q312364
Denis Sassou Nguesso	Q57418
Nguyễn Du	Q313322
Nguyễn Khánh	Q504362
Nguyễn Phú Trọng	Q318458
Gia Long	Q210417
Nguyễn Văn Thiệu	Q313707
Kinjikitile Ngwale	Q876815
Filipe Nyusi	Q5448556
Ni Kuang	Q4131339
Niall of the Nine Hostages	Q645857
A. A. K. Niazi	Q2641946
Nichiren	Q311478
Nicholas I of Montenegro	Q283255
Grand Duke Nicholas Nikolaevich of Russia (born 1856)	Q160869
Nicholas of Cusa	Q154751
Douglas Nicholls	Q447675
Johanna Nichols	Q11727799
Mike Nichols	Q51537
Nichelle Nichols	Q254038
Stevie Nicks	Q234691
Nicolas Bourbaki	Q190529
Nie Rongzhen	Q701453
Lorine Niedecker	Q3077838
Wayde van Niekerk	Q16855376
Asta Nielsen	Q232404
Carl Nielsen	Q205139
Leslie Nielsen	Q82786
Martin Niemöller	Q153839
Sonu Nigam	Q470898
Simone Niggli-Luder	Q42920
Nightwish	Q43510
Bronislava Nijinska	Q235209
Nikephoros II Phokas	Q41625
Yuri Nikulin	Q310873
Birgit Nilsson	Q233951
Gaafar Nimeiry	Q311798
Chester W. Nimitz	Q217645
Leonard Nimoy	Q16345
Nimr al-Nimr	Q1992645
Aron Nimzowitsch	Q295114
Anaïs Nin	Q220018
La Niña de los Peines	Q447571
Nine Inch Nails	Q11647
Ninety One (group)	Q22936556
Willi Ninja	Q718111
Emperor Ninkō	Q312351
David Niven	Q181917
Agnes Nixon	Q394607
Saparmyrat Nyýazow	Q82918
Pierre Nkurunziza	Q57343
Genevieve Nnaji	Q463902
Trevor Noah	Q7839350
Umberto Nobile	Q291200
Roberto Noble	Q12341
Ronald Noble	Q373840
Linda Nochlin	Q434478
Gaspar Noé	Q347950
Jacqueline Noel	Q36637940
Nogai Khan	Q379723
Nogi Maresuke	Q468122
Hideyo Noguchi	Q356114
Isamu Noguchi	Q442628
Thomas Noguchi	Q456856
Noir Désir	Q728707
Philippe Noiret	Q106482
Sidney Nolan	Q381031
Emil Nolde	Q152788
Hideo Nomo	Q486690
Lon Nol	Q313400
Teun de Nooijer	Q556436
Fred Noonan	Q4808437
Oodgeroo Noonuccal	Q457278
Noor Jehan	Q466955
Indra Nooyi	Q264913
Namkhai Norbu	Q169335
Adolf Erik Nordenskiöld	Q156749
William Nordhaus	Q562481
John Howard, 1st Duke of Norfolk	Q953120
Manuel Noriega	Q192667
Greg Norman	Q381941
Larry Norman	Q1349745
Mabel Normand	Q235918
Chuck Norris	Q2673
Douglass North	Q243193
Frederick North, Lord North	Q312593
Oliver North	Q431223
Alfred Harmsworth, 1st Viscount Northcliffe	Q335193
Elliot Norton	Q16015938
Emperor Norton	Q299204
Graham Norton	Q19154
Cyprian Norwid	Q340122
Tig Notaro	Q7801308
